Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Toyota,corolla-cross,2021,Cross 2.0 Xei Cvt,Blanco,Nafta,5,Automática,2.0,SUV,Publicado hace 5 días,49.000 km,35900000
Toyota,corolla-cross,2022,Cross 2.0 Xei Cvt Kicks Compas Taos Territory,Rojo,Nafta,5,Automática,2.0,SUV,Publicado hace 19 días,23.669 km,38000000
Toyota,corolla-cross,2023,Cross 1.8 Xei Ecvt Kicks Hrv Cactus 2008,Blanco,Híbrido/Nafta,5,Automática,1.8,SUV,Publicado hace 26 días,16.000 km,43500000
Toyota,corolla-cross,2024,Cross 1.8 Seg Ecvt,Blanco,Híbrido/Nafta,5,Automática,1.8,SUV,Publicado hace 5 meses,500 km,42500
Toyota,corolla-cross,2023,Cross 2023 1.8 Seg Ecvt,Gris,Híbrido/Nafta,5,Automática,1.8,SUV,Publicado hace 1 año,22.000 km,34500
Toyota,corolla-cross,2024,Cross 2.0 Xei Cvt,Plateado,Nafta,5,Automática,2.0,SUV,Publicado hace 13 días,7.000 km,44900000
Toyota,corolla-cross,2024,Cross 1.8 Hev Seg Ecvt,Blanco,Híbrido/Nafta,5,Automática,1.8,SUV,Publicado hace 30 días,500 km,41900
Toyota,corolla-cross,2022,Cross 1.8 Seg Ecvt,Blanco,Híbrido/Nafta,5,Automática,1.8,SUV,Publicado hace 36 días,68.282 km,33500
Toyota,corolla-cross,2024,Cross 1.8 Hev Seg Ecvt,Blanco,Híbrido/Nafta,5,Automática,1.8,SUV,Publicado hace 2 meses,20.500 km,37250
Toyota,corolla-cross,2023,Cross 2.0 Sport Gr Cvt - Motormax,Blanco,Nafta,5,Automática,2.0,SUV,Publicado hace 12 días,24.500 km,42000000
Toyota,corolla-cross,2022,"Cross 2.0 Xli Cvt 1a Mano Pocos Kms, Garantía",Plateado,Nafta,5,Automática,2.0,SUV,Publicado hace 11 días,47.700 km,30500000
Toyota,corolla-cross,2021,Cross Seg Ecv Hv 1.8,Blanco,Nafta,5,Automática,1.8,SUV,Publicado hace 26 días,76.292 km,31000
Toyota,corolla-cross,2021,Cross 2.0 Xei Cvt,Blanco,Nafta,5,Automática,2.0,SUV,Publicado hace 3 días,47.959 km,30450
Toyota,corolla-cross,2021,Cross 1.8 Xei Ecvt Carwestcaba,Gris,Híbrido/Nafta,5,Automática,1.8,SUV,Publicado hace 12 días,68.600 km,33900000
Toyota,corolla-cross,2024,Cross 2024 1.8 Seg Ecvt,Blanco,Híbrido/Nafta,5,Automática,1.8,SUV,Publicado hace 7 meses,500 km,42900
Toyota,corolla-cross,2024,Cross 2.0 Seg Cvt,Gris,Nafta,5,Automática,2.0,SUV,Publicado hace 1 día,9.817 km,39000000
Toyota,corolla-cross,2022,Cross 2.0 Seg Cvt,Plateado,Nafta,5,Automática,2.0,SUV,Publicado hace 1 día,69.000 km,32500
Toyota,corolla-cross,2021,Cross 2.0 Xei Cvt,Blanco,Nafta,5,Automática,2.0,SUV,Publicado hace 3 meses,71.000 km,34990000
Toyota,corolla-cross,2023,Cross 1.8 Xei Ecvt S.a,Blanco,Híbrido/Nafta,5,Automática,1.8,SUV,Publicado hace 5 días,48.186 km,42000000
Toyota,corolla-cross,2023,Cross 1.8 Seg Ecvt,Gris,Híbrido/Nafta,5,Automática,1.8,SUV,Publicado hace 57 días,32.000 km,34000
Toyota,corolla-cross,2023,Cross 1.8 Seg Ecvt,Blanco,Híbrido/Nafta,5,Automática,1.8,SUV,Publicado hace 7 días,15.000 km,36300
Toyota,corolla-cross,2023,Cross 1.8 Seg Ecvt,Blanco,Híbrido/Nafta,5,Automática,1.8,SUV,Publicado hace 12 días,30.000 km,35900
Toyota,corolla-cross,2023,Cross 2.0 Seg Cvt,Blanco,Nafta,5,Automática,2.0,SUV,Publicado hace 16 días,43.000 km,32250
Toyota,corolla-cross,2022,Cross 2.0 Seg Cvt,Blanco,Nafta,5,Automática,2.0,SUV,Publicado hace 17 días,50.000 km,37900000
