Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio
Peugeot,208,2018,1.6 Active 2018 (mja),Rojo,Nafta,5,Manual,1.6,Hatchback,34.000 km,16300000
Peugeot,208,2021,1.6 Allure,Blanco,Nafta,5,Manual,1.6,Hatchback,40.430 km,20500000
Peugeot,208,2020,1.6 Feline,Gris,Nafta,5,Manual,1.6,Hatchback,71.598 km,18500000
Peugeot,Usado,2013,Peugeot 308 Active 1.6 2013 Citroen Fiat Renault,Gris,Nafta,5,Manual,1.6,Hatchback,124.000 km,7990000
Peugeot,Usados,2018,Peugeot 208 Feline 2.0 2018 Fiat Chevrolet Ford,Blanco,Nafta,5,Manual,1.6,Hatchback,74.000 km,8380000
Peugeot,307,2008,1.6 Xt 110cv 2008 (mja),Gris,Nafta,5,Manual,1.6,Hatchback,145.000 km,9600000
Peugeot,208,2020,1.6 Gt Thp,Rojo,Nafta,5,Manual,1.6,Hatchback,53.000 km,17900
Peugeot,308,2017,1.6 Allure,Blanco,Nafta,5,Manual,1.6,Hatchback,81.000 km,16990000
Peugeot,Rcz,2013,1.6,Negro,Nafta,2,Manual,1.6,Coupé,119.000 km,23000
Peugeot,208,2018,"Gt 1,6 (2018) Impecable Cq",Blanco,Nafta,5,Manual,1.6,Hatchback,54.000 km,13500000
Peugeot,Partner,2015,1.6 Hdi Furgon Confort 5as,Plateado,Diésel,4,Manual,1.6,Furgón,190.000 km,11989900
Peugeot,5008,2017,1.6 Feline B/techo Tiptronic,Gris,Nafta,5,Automática,1.6,Monovolumen,92.000 km,18500
Peugeot,208,2019,1.6 Feline,Blanco,Nafta,5,Manual,1.6,Hatchback,89.000 km,9200000
Peugeot,208,2019,1.6 Feline,Blanco,Nafta,5,Manual,1.6,Hatchback,89.000 km,17989900
Peugeot,208,2018,"Gt 1,6 (2018) Impecable Cq",Blanco,Nafta,5,Manual,1.6,Hatchback,54.000 km,19500000
Peugeot,Partner,2014,1.6 Hdi Furgon Confort Airbag,Blanco,Diésel,3,Manual,1.6,Furgón,89.623 km,8900
Peugeot,3008,2012,1.6 Premium Plus Thp 156cv,Gris,Nafta,5,Manual,1.6,Monovolumen,133.000 km,13989900
Peugeot,308,2016,1.6 Active,Blanco,Nafta,5,Manual,1.6,Hatchback,98.000 km,8598900
Peugeot,208,2017,1.6 Allure $18.500.000,Blanco,Nafta,5,Manual,1.6,Hatchback,105.000 km,18500000
Peugeot,408,2017,1.6 Active 115cv,Gris,Nafta,4,Manual,1.6,Sedán,61.458 km,7800
Peugeot,208,2023,1.6 Feline Tiptronic,Gris,Nafta,5,Automática,1.6,Hatchback,30.000 km,20500
Peugeot,206,2008,1.9 Xrd Premium,Gris,Diésel,5,Manual,1.9,Hatchback,96.000 km,4700
Peugeot,2008,2017,1.6 Allure Tip,Plateado,Nafta,5,Automática,1.6,SUV,41.000 km,18900000
Peugeot,206,2008,1.9 Xrd Premium,Gris,Diésel,5,Manual,1.9,Hatchback,96.000 km,4700
Peugeot,Expert,2020,1.6 Hdi Premium 6as,Plateado,Diésel,3,Manual,1.6,Furgón,77.000 km,39000000
Peugeot,208,2020,1.6 Allure,Plateado,Nafta,5,Manual,1.6,Hatchback,28.000 km,18350000
Peugeot,206,2012,1.4 Allure 75cv (aca),Gris,Nafta,5,Manual,1.4,Hatchback,126.722 km,8500000
Peugeot,2008,2017,1.6 Feline,Gris,Nafta,5,Manual,1.6,SUV,87.000 km,19750000
Peugeot,Partner,2023,1.6 Furgon Confort,Blanco,Nafta,3,Manual,1.6,Furgón,20.551 km,22400000
Peugeot,2008,2022,1.6 Feline,Gris,Nafta,5,Manual,1.6,SUV,43.320 km,23900000
Peugeot,208,2024,1.6 Allure,Blanco,Nafta,5,Manual,1.6,Hatchback,3.700 km,24500000
Peugeot,Partner,2017,Patagónica 1.6 Vtc Plus,Plateado,Nafta,4,Manual,1.6,Monovolumen,85.000 km,18989900
Peugeot,Partner,2014,Patagónica 1.6 Hdi,Blanco,Diésel,4,Manual,1.6,Monovolumen,144.000 km,15989900
Peugeot,408,2013,1.6 Allure Hdi 115cv,Plateado,Diésel,4,Manual,1.6,Sedán,149.000 km,8790000
Peugeot,408,2013,1.6 Allure Hdi 115cv,Plateado,Diésel,4,Manual,1.6,Sedán,148.000 km,12989900
Peugeot,2008,2018,1.6 Allure,Plateado,Nafta,5,Manual,1.6,SUV,85.000 km,9387800
Peugeot,2008,2018,1.6 Allure,Plateado,Nafta,5,Manual,1.6,SUV,85.000 km,17489900
Peugeot,301,2018,1.6 Hdi Allure,Blanco,Diésel,4,Manual,1.6,Sedán,26.000 km,16500000
Peugeot,208,2020,1.6 Allure,Azul,Nafta,5,Manual,1.6,Hatchback,19.000 km,21500000
Peugeot,2008,2016,1.6 Allure,Blanco,Nafta,5,Manual,1.6,SUV,89.000 km,8276000
Peugeot,2008,2017,1.6 Thp Sport,Gris,Nafta,5,Manual,1.6,SUV,90.000 km,17500000
Peugeot,2008,2016,1.6 Allure,Blanco,Nafta,5,Manual,1.6,SUV,78.000 km,16900000
Peugeot,308,2014,1.6 Active,Gris,Nafta,5,Manual,1.6,Hatchback,110.000 km,14500000
Peugeot,208,2017,1.6 Active,Marrón,Nafta,5,Manual,1.6,Hatchback,79.000 km,15489090
Peugeot,208,2015,1.6 Feline Pack Cuir,Blanco,Nafta,5,Manual,1.6,Hatchback,115.000 km,12500
Peugeot,2008,2018,1.6 Feline Tip,Plateado,Nafta,5,Automática,1.6,SUV,92.000 km,12500000
Peugeot,2008,2018,1.6 Feline Tip,Plateado,Nafta,5,Automática,1.6,SUV,92.000 km,12500000
Peugeot,2008,2018,1.6 Feline Tip,Plateado,Nafta,5,Automática,1.6,SUV,92.000 km,18989900
Peugeot,Partner,2016,Patagónica 1.6 Vtc Plus,Negro,Nafta/GNC,4,Manual,1.6,Monovolumen,134.000 km,15000
Peugeot,Partner,2023,Patagónica 1.6 Vtc Plus 115,Blanco,Nafta,4,Manual,1.6,Monovolumen,49.000 km,26989900
Peugeot,308,2021,1.6 Allure Hdi 115cv Beccar Ld,Blanco,Diésel,5,Manual,1.6,Hatchback,64.300 km,22900000
Peugeot,408,2014,2.0 Allure Nav 143cv,Negro,Nafta,4,Manual,2.0,Sedán,130.000 km,10500
Peugeot,Partner,2019,1.6 Furgon Confort 5as,Blanco,Nafta,4,Manual,1.6,Furgón,89.000 km,16989900
Peugeot,2008,2018,1.6 Thp Sport,Marrón,Nafta,5,Manual,1.6,SUV,100.000 km,17989900
Peugeot,2008,2017,1.6 Feline Tip,Negro,Nafta,5,Automática,1.6,SUV,65.000 km,17900000
Peugeot,208,2014,1.5 Allure Touchscreen,Gris,Nafta,5,Manual,1.5,Hatchback,63.700 km,13900000
Peugeot,208,2023,1.6 Feline Tiptronic,Gris,Nafta,5,Automática,1.6,Hatchback,16.000 km,25999999
Peugeot,208,2018,1.5 Active Año 2018 - Liv Motors,Plateado,Nafta,5,Manual,1.5,Hatchback,59.000 km,11950
Peugeot,2008,2024,1.0t Gt Precio Nueva 2024 Financiado,Gris,Nafta,5,Automática,1.0,SUV,7.800 km,39800000
