Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Jeep,Compass,2024,1.3 T270 Serie-s 4x2 At6,Blanco,Nafta,5,Automática,1.3,SUV,Publicado hace 1 día,3.700 km,40900
Jeep,Compass,2020,2.4 Sport,Verde,Nafta,5,Manual,2.4,SUV,Publicado hace 2 días,69.700 km,26900000
Jeep,Compass,2023,1.3 Serie At6 Nd,Gris,Nafta,5,Automática,1.3,SUV,Publicado hace 3 días,31.000 km,46000000
Jeep,Compass,2021,2.0 Td At9 4x4 Limited Plus,Negro,Diésel,5,Automática,2.0,SUV,Publicado hace 4 días,42.942 km,39900
Jeep,Compass,2018,2.4 Longitude,Azul,Nafta,5,Automática,2.4,SUV,Publicado hace 11 días,79.000 km,15792000
Jeep,Compass,2018,2.4 Longitude,Azul,Nafta,5,Automática,2.4,SUV,Publicado hace 11 días,79.000 km,29989900
Jeep,Compass,2020,2.4 Limited Plus,Plateado,Nafta,5,Automática,2.4,SUV,Publicado hace 12 días,37.799 km,38900
Jeep,Compass,2019,2.4 Sport At,Negro,Nafta,5,Automática,2.4,SUV,Publicado hace 13 días,170.000 km,20500
Jeep,Compass,2018,2.4 Longitude Plus 4x4,Plateado,Nafta,5,Automática,2.4,SUV,Publicado hace 15 días,56.000 km,31000000
Jeep,Compass,2019,2.4 Longitude Plus 4x4,Blanco,Nafta,5,Automática,2.4,SUV,Publicado hace 21 días,96.300 km,32500000
Jeep,Compass,2020,2.4 Limited Plus,Negro,Nafta,5,Automática,2.4,SUV,Publicado hace 23 días,79.000 km,30000
Jeep,Compass,2023,Sport 1.3t270,Blanco,Nafta,5,Automática,1.3,SUV,Publicado hace 32 días,41.000 km,37900000
Jeep,Compass,2018,2.4 Limited Plus,Negro,Nafta,5,Automática,2.4,SUV,Publicado hace 3 meses,70.000 km,29000
Jeep,Compass,2021,2.4 Longitude Smart Garage,Negro,Nafta,5,Manual,2.4,SUV,Publicado hace 3 meses,55.000 km,28500
Jeep,Compass,2024,1.3 T270 Limited,Blanco,Nafta,5,Automática,1.3,SUV,Publicado hace 4 meses,4.600 km,43000000
Jeep,Compass,2021,2.4 Sport At,Gris,Nafta,5,Automática,2.4,SUV,Publicado hace 3 días,54.420 km,30000000
Jeep,Compass,2019,2.4 Longitude Plus 4x4-uslraiti,Blanco,Nafta,5,Automática,2.4,SUV,Publicado hace 11 días,96.308 km,32500000
Jeep,Compass,2019,2.4 Limited 170cv Atx,Gris,Nafta,5,Automática,2.4,SUV,Publicado hace 12 días,93.500 km,31065
Jeep,Compass,2021,2.4 Limited Plus,Blanco,Nafta,5,Automática,2.4,SUV,Publicado hace 20 días,33.500 km,31500
Jeep,Compass,2021,2.4 Limited 170cv Atx - Liv Motors,Gris,Nafta,5,Automática,2.4,SUV,Publicado hace 21 días,49.000 km,35500
Jeep,Compass,2018,2.4 Longitude Plus 4x4,Plateado,Nafta,5,Automática,2.4,SUV,Publicado hace 2 meses,55.000 km,34500
Jeep,Compass,2021,2.4 Longitude Plus // Forcammo,Negro,Nafta,5,Automática,2.4,SUV,Publicado hace 4 meses,70.000 km,35000000
Jeep,Compass,2024,1.3 T270 Serie-s 4x2 At6,Gris,Nafta,5,Automática,1.3,SUV,Publicado hace 3 días,3.000 km,44900000
Jeep,Compass,2019,2.4 Longitude,Blanco,Nafta,5,Automática,2.4,SUV,Publicado hace 3 días,47.000 km,28900000
Jeep,Compass,2022,1.3 T270 Sport,Negro,Nafta,5,Automática,1.3,SUV,Publicado hace 2 meses,79.300 km,26700
Jeep,Compass,2013,2.4 Limited 170cv Atx,Gris,Nafta,5,Automática,2.4,SUV,Publicado hace 1 día,114.000 km,13900
Jeep,Compass,2021,2.4 Sport At,Blanco,Nafta,5,Automática,2.4,SUV,Publicado hace 6 días,34.000 km,27900
Jeep,Compass,2017,2.4 Longitude Plus 4x4,Blanco,Nafta,5,Automática,2.4,SUV,Publicado hace 7 días,78.000 km,25900
Jeep,Compass,2019,2.4 Sport At,Negro,Nafta,5,Automática,2.4,SUV,Publicado hace 33 días,63.000 km,29500000
Jeep,Compass,2021,2.4 Longitude Plus,Blanco,Nafta,5,Automática,2.4,SUV,Publicado hace 5 meses,77.000 km,34500000
Jeep,Compass,2021,2.4 Longitude Plus,Azul,Nafta,5,Automática,2.4,SUV,Publicado hace 6 meses,77.000 km,34500000
Jeep,Compass,2021,2.4 Longitude Plus,Blanco,Nafta,5,Automática,2.4,SUV,Publicado hace 9 meses,35.000 km,36900000
Jeep,Compass,2023,2.4 Longitude Plus,Negro,Nafta,5,Automática,2.4,SUV,Publicado hace 7 días,39.500 km,39900000
Jeep,Compass,2021,Longitude 2.4 At Rb3 Blindaje Maximo Blindada,Azul,Nafta,5,Automática,2.4L,SUV,Publicado hace 2 meses,47.000 km,45000
Jeep,Compass,2024,1.3 T270 Serie-s 4x2 At6,Plateado,Nafta,5,Automática,1.3,SUV,Publicado hace 3 días,3.500 km,44888000
Jeep,Compass,2023,1.3 Serie At6,Blanco,Nafta,5,Automática,1.3,SUV,Publicado hace 3 días,5.000 km,44890000
Jeep,Compass,2023,1.3 T270 Longitude,Blanco,Nafta,5,Automática,1.3,SUV,Publicado hace 6 días,73.992 km,34990000
Jeep,Compass,2019,2.4 Limited 170cv Atx Carwestcaba,Blanco,Nafta,5,Automática,2.4,SUV,Publicado hace 7 días,112.400 km,33500000
Jeep,Compass,2023,1.3 T270 Sport Banchik Usados,Gris,Nafta,5,Automática,1.3,SUV,Publicado hace 8 días,46.000 km,36500000
Jeep,Compass,2013,2.4 Sport 170cv Atx,Negro,Nafta,5,Automática,2.4,SUV,Publicado hace 28 días,146.000 km,14700
Jeep,Compass,2022,1.3 T270 Longitude 2022,Gris,Nafta,5,Automática,1.3,SUV,Publicado hace 34 días,21.000 km,35000
Jeep,Compass,2020,2.4 Longitude Plus,Gris,Nafta,5,Automática,2.4,SUV,Publicado hace 2 meses,76.000 km,33900000
Jeep,Compass,2020,Limited Plus 4x4 2020 Con 42.000kms,Gris,Nafta,5,Automática,2.4,SUV,Publicado hace 1 año,45.000 km,33000
