Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio
Chevrolet,Tracker,2023,1.2 Ltz Turbo At,Azul,Nafta,5,Automática,1.2,SUV,33.000 km,27900000
Chevrolet,Cruze,2018,Ii 1.4 Ltz 153cv (aca),Rojo,Nafta,5,Manual,1.4,Hatchback,81.688 km,19900000
Chevrolet,Onix,2017,1.4 Joy Ls 98cv,Negro,Nafta,5,Manual,1.4,Hatchback,75.000 km,14400000
Chevrolet,Onix,2020,1.4 Black Edition 1.4,Gris,Nafta/GNC,5,Manual,1.4,Hatchback,60.000 km,16980900
Chevrolet,Celta,2015,1.4 Advantage Aa+dir,Blanco,Nafta,5,Manual,1.4,Hatchback,75.467 km,7000
Chevrolet,Montana,2024,1.2 T Premier At Sj,Gris,Nafta,4,Automática,1.2,Pick-Up,1.000 km,36141000
Chevrolet,Trailblazer,2024,Premier 2.8d Turbo Automática Awd 2025,Plateado,Diésel,4,Automática,Motor 2.8 turbo diesel,SUV,1.000 km,63000000
Chevrolet,Tracker,2024,1.2t At 2025,Gris,Nafta,5,Automática,1.2,SUV,1.000 km,27000000
Chevrolet,Tracker,2024,1.2t At 2025,Gris,Nafta,5,Automática,1.2,SUV,1.000 km,27519549
Chevrolet,Tracker,2024,1.2t At 2025 Unidad Física,Gris,Nafta,5,Automática,1.2,SUV,1.000 km,27520000
Chevrolet,Tracker,2024,1.2t At,Gris,Nafta,5,Automática,1.2,SUV,1.000 km,26500000
Chevrolet,Ltz,2024,- Liquido Okm! - Mq 2025,Negro,Nafta,5,Automática,1.2,SUV,1.000 km,32070000
Chevrolet,Tracker,2024,1.2t At 2025,Gris,Nafta,5,Automática,1.2,SUV,1.000 km,27000000
Chevrolet,Ltz,2024,- Liquido Okm! - Mq 2025,Negro,Nafta,5,Automática,1.2,SUV,1.000 km,32746000
Chevrolet,Onix,2024,1.0t Lt Mt,Blanco,Nafta,5,Manual,1.0,Hatchback,1.000 km,22500000
Chevrolet,Ltz,2024,- Liquido Okm! Bm,Negro,Nafta,5,Automática,1.2,SUV,1.000 km,32070000
Chevrolet,Trailblazer,2024,Premier 2.8d Turbo Automática Awd 2025,Plateado,Diésel,4,Automática,Motor 2.8 turbo diesel,SUV,1.000 km,64454000
Chevrolet,Onix,2024,1.0t Lt Mt 2025,Blanco,Nafta,5,Manual,1.0,Hatchback,1.000 km,23025000
Chevrolet,Ltz,2024,- Liquido Okm! - Mq 2025,Negro,Nafta,5,Automática,1.2,SUV,1.000 km,32070000
Chevrolet,Tracker,2024,At,Negro,Nafta,5,Automática,1.2,SUV,1.000 km,26000000
Chevrolet,Chevrolet,2024,Silverado High Country 2025,Blanco,Nafta,4,Automática,5.3,Pick-Up,1.000 km,114257000
Chevrolet,Onix,2024,1.0t Lt Mt 2025,Blanco,Nafta,5,Manual,1.0,Hatchback,1.000 km,23025000
Chevrolet,Tracker,2024,"At 1.2t D.m 2024,,,,,",Negro,Nafta,5,Automática,1.2,SUV,1.000 km,27520000
Chevrolet,S10,2024,2.8 Ctdi Hc 4x4,Blanco,Diésel,4,Manual,2.8,Pick-Up,1.000 km,62811000
Chevrolet,Chevrolet,2024,Onix 1.0t Lt Mt,Rojo,Nafta,5,Manual,1.0,Hatchback,1.000 km,23025000
Chevrolet,Onix,2024,1.0t Lt Mt,Rojo,Nafta,5,Manual,1.0,Hatchback,1.000 km,23025000
Chevrolet,Onix,2024,Premier 1.0 Unidad Fisica!!!,Plateado,Nafta,5,Automática,1.0,Hatchback,1.000 km,26954000
Chevrolet,Chevrolet,2024,Onix 1.0t Lt Mt 2025,Rojo,Nafta,5,Manual,1.0,Hatchback,1.000 km,23025000
