Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio
Ford,Bronco,2021,Sport 2.0 4wd Wildtrak At8 (lili),Blanco,Nafta,5,Automática,2.0,SUV,61.100 km,42000000
Ford,Ka,2018,1.5 Sel 2018 (mja),Negro,Nafta,5,Manual,1.5,Hatchback,63.000 km,15000000
Ford,Ecosport,2019,Titanium 1.5 Automatica,Negro,Nafta,5,Automática,1.5,SUV,65.000 km,20000000
Ford,Focus,2011,2 1.6 Trend Sigma,Negro,Nafta,5,Manual,1.6,Hatchback,129.700 km,9900
Ford,Kuga,2011,2.5 Titanium At 4x4 L (ku05),Blanco,Nafta,5,Automática,2.5,SUV,160.000 km,13000
Ford,Ecosport,2019,1.5 Se 123cv 4x2,Rojo,Nafta,5,Automática,1.5,SUV,85.000 km,18989900
Ford,Fiesta,2017,Kinetic 1.6 Se Powershift 120cv Focus 208 Etios,Rojo,Nafta,5,Automática,1.6,Hatchback,52.334 km,17000000
Ford,Ranger,2021,3.2 Cd Limited Tdci 200cv,Gris,Diésel,4,Automática,3.2,Pick-Up,95.000 km,33500
Ford,Fiesta,2015,Kinetic 1.6 Se 120cv,Negro,Nafta,5,Manual,1.6,Hatchback,95.000 km,12989900
Ford,Bronco,2021,Sport 2.0 4wd Wildtrak At8 2021 (fran),Blanco,Nafta,5,Automática,2.0,SUV,61.000 km,42000000
Ford,Ranger,2016,3.2 Cd 4x4 Xlt Tdci 200cv At,Blanco,Diésel,4,Automática,3.2,Pick-Up,120.000 km,27989900
Ford,Fiesta,2017,Kinetic 1.6 Se Powershift 120cv Fit 208 Onix,Rojo,Nafta,5,Automática,1.6,Hatchback,52.000 km,17000000
Ford,Ka,2013,1.0 Fly Viral 63cv Aire Y Direccion Ant $4.900.000,Blanco,Nafta,3,Manual,1.0,Hatchback,131.000 km,8900000
Ford,Focus,2017,Iii 1.6 S E,Beige,Nafta,5,Manual,1.6,Hatchback,107.000 km,17000000
Ford,Fiesta,2018,Kinetic 1.6 Titanium Powershift 120cv,Plateado,Nafta,5,Automática,1.6,Hatchback,132.332 km,14000
Ford,Focus,2019,Iii 1.6 Sedan S,Blanco,Nafta,4,Manual,1.6,Sedán,87.000 km,10788800
Ford,Focus,2019,Iii 1.6 Sedan S,Blanco,Nafta,4,Manual,1.6,Sedán,87.000 km,17989900
Ford,Fiesta,2013,Kinetic 1.6 Design 120cv Titanium No Mondeo An,Plateado,Nafta,5,Manual,1.6,Hatchback,138.000 km,13000000
Ford,Ranger,2017,3.2 Cd Xls Tdci 200cv Manual 4x2,Blanco,Diésel,4,Manual,3.2,Pick-Up,95.000 km,27890900
Ford,Focus,2014,Iii 2.0 Sedan Titanium At6,Blanco,Nafta,4,Automática,2.0,Sedán,141.000 km,16300000
Ford,Ecosport,2017,1.5 Titanium 123cv 4x2,Azul,Nafta,5,Manual,1.5,SUV,69.000 km,21890900
Ford,Mondeo,2019,2.0 Sel 52.000km 2019 (fran),Gris,Nafta,4,Automática,2.0,Sedán,52.000 km,26600000
Ford,Ranger,2018,2.2 Cd Xl Tdci 150cv,Gris,Diésel,4,Manual,2.2,Pick-Up,180.000 km,19000
Ford,Maverick,2022,2.0 Ecoboost Cd Lariat At8 4wd (lili),Gris,Nafta,4,Automática,2.0,Pick-Up,110.000 km,41000000
Ford,Focus,2014,Iii 2.0 Se Plus At6 - Liv Motors,Gris,Nafta,5,Automática,2.0,Hatchback,115.000 km,11900
Ford,Fiesta,2017,Kinetic 1.6 Se 120cv,Rojo,Nafta,5,Manual,1.6,Hatchback,72.000 km,16890900
Ford,Ecosport,2018,1.5 Se 123cv 4x2,Azul,Nafta,5,Manual,1.5,SUV,86.400 km,17900000
Ford,Ranger,2019,2.2 Cd Xl Tdci 150cv 2019 (fran),Azul,Diésel,2,Manual,2.2,Pick-Up,150.000 km,24500000
Ford,Focus,2015,2.0 Se Plus At Año 2015 - Liv Motors,Rojo,Nafta,5,Automática,2.0,Sedán,93.000 km,12900
Ford,Ford,2018,Ka Sel Manual 1.5 Con 115700km Es La Version Tope,Gris,Nafta,4,Manual,1.5,Sedán,115.700 km,15400000
Ford,Ecosport,2018,1.5 Se 123cv 4x2 Automática Tracker Renegade,Blanco,Nafta,5,Automática,1.5,SUV,145.000 km,17500000
Ford,Ecosport,2022,2022 1.5 Titanium 123cv 4x2 Manual,Negro,Nafta,5,Manual,1.5,SUV,47.300 km,19500
Ford,Maverick,2022,2.0 Ecoboost Cd Lariat At8 4wd (fran),Gris,Nafta,4,Automática,2.0,Pick-Up,110.000 km,40500000
